"Symbol";"Value";"Unit";
"Brand_Name";"TE CONNECTIVITY";"";
"Operating_Temperature_Min";"-55°C";"";
"TraceParts.PartLanguage";"en";"";
"Material";"Polyester";"";
"Contact_Termination_Type";"Through Hole";"";
"Lead_Spacing";"2.54mm";"";
"Gender";"Plug";"";
"SUPPLIER";"FARNELL";"";
"REFERENCE";"5650473-5";"";
"TraceParts.InstanceId";"11-27042017-109936ARJ6BZNALSGSX1Q5XOPHHCPNP";"";
"Product_Range";"Eurocard Type C Series";"";
"Range";"std";"";
"TraceParts.PartTitle";"DIN 41612 Connector, Eurocard Type C Series, 96 Contacts, Plug, 2.54 mm, 3 Row, a + b + c";"";
"DESIGN";"DIN 41612 Connector, Eurocard Type C Series, 96 Contacts, Plug, 2.54 mm, 3 Row, a + b + c";"";
"Width";"3.7""";"";
"TraceParts.PartNumber";"11-27042017-109936";"";
"Contact_Material";"Brass";"";
"TRACEPARTS";"TRACEPARTS";"";
"Pitch_Spacing";"2.54mm";"";
"Termination_Method";"Through Hole";"";
"Rows_Loaded";"a + b + c";"";
"Pin_Length";"2.64mm";"";
"Contact_Termination";"Through Hole Right Angle";"";
"No__of_Rows";"3Rows";"";
"Approval_Bodies";"CSA, UL";"";
"No__of_Contacts";"96Contacts";"";
"Termination_Post_Length";"0.104""";"";
"Contact_Plating";"Gold Plated Contacts";"";
"TraceParts.PartVersion";"1.0.4";"";
"Operating_Temperature_Max";"125°C";"";
"Supplier_Name";"Farnell or Newark";"";
"Colour";"Grey";"";
"Connector_Type";"DIN 41612";"";
